Epoch,Training Loss,Validation Loss,F1 Label 0,F1 Label 1,F1 Label 2,F1 Weighted
1,No log,0.939478,0.603306,0.590164,0.468571,0.551231
2,No log,0.649376,0.719512,0.717300,0.763819,0.734415
3,0.575900,1.019939,0.782609,0.682081,0.781893,0.748176
4,0.575900,1.163281,0.763441,0.695187,0.784141,0.747549
5,0.575900,1.243609,0.755319,0.699454,0.794760,0.750261
