Epoch,Training Loss,Validation Loss,F1 Label 0,F1 Label 1,F1 Label 2,F1 Weighted
1,No log,0.700623,0.738462,0.648649,0.754545,0.713608
2,No log,0.658947,0.763006,0.718750,0.765957,0.749002
3,0.588700,0.809830,0.795812,0.721311,0.787611,0.767584
4,0.588700,0.935913,0.787565,0.758974,0.801887,0.782904
5,0.588700,1.189801,0.802030,0.715084,0.794643,0.769858
